"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GOBP_NEGATIVE_REGULATION_OF_INFLAMMATORY_RESPONSE","GOBP_NEGATIVE_REGULATION_OF_INFLAMMATORY_RESPONSE","GOBP_NEGATIVE_REGULATION_OF_INFLAMMATORY_RESPONSE","11/201","182/17872",6.93667964027156e-06,0.000339215006015247,0.000243591769938786,"NLRP3/TNFAIP3/NFKB1/FPR2/HCK/ZFP36/LDLR/PTPN2/TNFAIP6/IL2RA/MEFV",11
"GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS","GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS","GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS","17/201","429/17872",7.47121789381764e-06,0.000359461983504161,0.000258131212460423,"NLRP3/TNFAIP3/IRAK3/NFKB1/FPR2/SERPINB9/HCK/ZFP36/THBS1/PTEN/LDLR/DUSP1/TNF/PTPN2/TNFAIP6/IL2RA/MEFV",17
"GOBP_POSITIVE_REGULATION_OF_NITRIC_OXIDE_METABOLIC_PROCESS","GOBP_POSITIVE_REGULATION_OF_NITRIC_OXIDE_METABOLIC_PROCESS","GOBP_POSITIVE_REGULATION_OF_NITRIC_OXIDE_METABOLIC_PROCESS","6/201","43/17872",8.09558198435069e-06,0.000383319381893938,0.000275263313920696,"IL1B/SOD2/INSR/TNF/PTGS2/TLR4",6
"GOBP_SECOND_MESSENGER_MEDIATED_SIGNALING","GOBP_SECOND_MESSENGER_MEDIATED_SIGNALING","GOBP_SECOND_MESSENGER_MEDIATED_SIGNALING","14/201","302/17872",8.57666008771174e-06,0.000399752766275689,0.000287064198659431,"CCL4/FPR2/THBS1/MCTP1/RAPGEF2/CCL20/TNF/CCL3/NFAT5/ADM/CXCL8/CCRL2/FPR1/PLEK",14
"GOBP_T_CELL_DIFFERENTIATION","GOBP_T_CELL_DIFFERENTIATION","GOBP_T_CELL_DIFFERENTIATION","13/201","263/17872",9.14946887072889e-06,0.000416157230129652,0.000298844315441481,"NLRP3/IL1B/ZBTB16/NFKBIZ/IL1A/RHOH/BCL6/GPR183/PTPN2/STAT3/IRF1/IL2RA/EGR1",13
"GOBP_REGULATION_OF_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY","GOBP_REGULATION_OF_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY","GOBP_REGULATION_OF_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY","10/201","153/17872",9.20763566495374e-06,0.000416157230129652,0.000298844315441481,"IL1B/TNFAIP3/CFLAR/PMAIP1/IL1A/THBS1/PTEN/ICAM1/TNF/TRAF1",10
"GOBP_POSITIVE_REGULATION_OF_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY","GOBP_POSITIVE_REGULATION_OF_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY","GOBP_POSITIVE_REGULATION_OF_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY","13/201","264/17872",9.52946887132771e-06,0.000424274711092098,0.000304673513796573,"NLRP3/IL1B/IRAK3/CFLAR/PTEN/IRAK2/HIPK2/TNF/TRAF1/STAT3/TLR4/SAV1/PRKCH",13
"GOBP_POSITIVE_REGULATION_OF_NF_KAPPAB_TRANSCRIPTION_FACTOR_ACTIVITY","GOBP_POSITIVE_REGULATION_OF_NF_KAPPAB_TRANSCRIPTION_FACTOR_ACTIVITY","GOBP_POSITIVE_REGULATION_OF_NF_KAPPAB_TRANSCRIPTION_FACTOR_ACTIVITY","10/201","154/17872",9.7518871028768e-06,0.000427792341586492,0.000307199539541088,"NLRP3/IL1B/IRAK3/CFLAR/IRAK2/TNF/TRAF1/STAT3/TLR4/PRKCH",10
"GOBP_NEGATIVE_REGULATION_OF_APOPTOTIC_SIGNALING_PATHWAY","GOBP_NEGATIVE_REGULATION_OF_APOPTOTIC_SIGNALING_PATHWAY","GOBP_NEGATIVE_REGULATION_OF_APOPTOTIC_SIGNALING_PATHWAY","12/201","227/17872",1.03923277640038e-05,0.000444299417625097,0.000319053342578849,"IL1B/TNFAIP3/SOD2/CFLAR/IL1A/PTPN1/CD44/THBS1/ICAM1/TNF/NFE2L2/PTGS2",12
"GOBP_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS","GOBP_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS","GOBP_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS","15/201","350/17872",1.04260674601934e-05,0.000444299417625097,0.000319053342578849,"IL1B/TNFAIP3/IRAK3/FPR2/SERPINB9/HCK/BIRC3/PTPN1/EREG/N4BP1/CD55/PTPN2/NFE2L2/IRF1/TLR4",15
"GOBP_POSITIVE_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS","GOBP_POSITIVE_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS","GOBP_POSITIVE_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS","17/201","441/17872",1.07064044491937e-05,0.000449819781294997,0.000323017539719928,"IL1B/NFKBIA/CCL4/NFKBIZ/FPR2/HCK/THBS1/EREG/SLAMF1/LDLR/TNF/CCL3/CXCL8/PTGS2/TNIP1/LILRA5/TLR4",17
"GOBP_NEGATIVE_REGULATION_OF_DEFENSE_RESPONSE","GOBP_NEGATIVE_REGULATION_OF_DEFENSE_RESPONSE","GOBP_NEGATIVE_REGULATION_OF_DEFENSE_RESPONSE","13/201","268/17872",1.11922800681658e-05,0.00046370238115748,0.000332986695010488,"NLRP3/TNFAIP3/IRAK3/NFKB1/FPR2/SERPINB9/HCK/ZFP36/LDLR/PTPN2/TNFAIP6/IL2RA/MEFV",13
"GOBP_POSITIVE_REGULATION_OF_JNK_CASCADE","GOBP_POSITIVE_REGULATION_OF_JNK_CASCADE","GOBP_POSITIVE_REGULATION_OF_JNK_CASCADE","8/201","95/17872",1.17210803945488e-05,0.000478958668725193,0.000343942301411778,"IL1B/IL1A/SLAMF1/HIPK2/TNF/GADD45B/TRAF1/TLR4",8
"GOBP_RESPONSE_TO_CHEMOKINE","GOBP_RESPONSE_TO_CHEMOKINE","GOBP_RESPONSE_TO_CHEMOKINE","8/201","96/17872",1.26646995123891e-05,0.000510524306019684,0.000366609722727052,"CCL4/CXCL2/CXCL3/CCL20/DUSP1/CCL3/CXCL8/CCRL2",8
"GOBP_RESPONSE_TO_PEPTIDE_HORMONE","GOBP_RESPONSE_TO_PEPTIDE_HORMONE","GOBP_RESPONSE_TO_PEPTIDE_HORMONE","16/201","404/17872",1.4077663362772e-05,0.000557872830295849,0.000400610903771213,"IL1B/CFLAR/NFKB1/AREG/PTPN1/EREG/INSR/PTPN2/ADM/NFE2L2/PTGS2/NAMPT/STAT3/BTG2/CCND3/EGR1",16
"GOBP_REGULATION_OF_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY","GOBP_REGULATION_OF_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY","GOBP_REGULATION_OF_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY","17/201","451/17872",1.43055410332483e-05,0.000557872830295849,0.000400610903771213,"NLRP3/IL1B/TNFAIP3/PELI1/NFKBIA/IRAK3/CFLAR/HCK/PTEN/IRAK2/HIPK2/TNF/TRAF1/STAT3/TLR4/SAV1/PRKCH",17
"GOBP_NEGATIVE_REGULATION_OF_LYMPHOCYTE_ACTIVATION","GOBP_NEGATIVE_REGULATION_OF_LYMPHOCYTE_ACTIVATION","GOBP_NEGATIVE_REGULATION_OF_LYMPHOCYTE_ACTIVATION","10/201","161/17872",1.44003378923166e-05,0.000557872830295849,0.000400610903771213,"TNFAIP3/PELI1/SAMSN1/SCGB1A1/BCL6/PTPN2/PAG1/SDC4/IRF1/IL2RA",10
"GOBP_RESPONSE_TO_MECHANICAL_STIMULUS","GOBP_RESPONSE_TO_MECHANICAL_STIMULUS","GOBP_RESPONSE_TO_MECHANICAL_STIMULUS","11/201","201/17872",1.76989537676811e-05,0.000673254948550088,0.000483467304303132,"IL1B/NFKBIA/NFKB1/THBS1/SLC1A3/TNF/PTGS2/KCNJ2/IRF1/BTG2/TLR4",11
"GOBP_CELLULAR_RESPONSE_TO_OXYGEN_LEVELS","GOBP_CELLULAR_RESPONSE_TO_OXYGEN_LEVELS","GOBP_CELLULAR_RESPONSE_TO_OXYGEN_LEVELS","10/201","165/17872",1.78300841218428e-05,0.000673254948550088,0.000483467304303132,"CFLAR/PMAIP1/PTEN/HIPK2/PLK3/PRKCE/NFE2L2/PTGS2/BACH1/EGR1",10
"GOBP_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE","GOBP_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE","GOBP_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE","8/201","101/17872",1.83994055361949e-05,0.000686067833930866,0.000492668292975744,"NLRP3/IL1B/IRAK3/SLAMF1/BCL6/CD55/TNF/TLR4",8
"GOBP_VIRAL_PROCESS","GOBP_VIRAL_PROCESS","GOBP_VIRAL_PROCESS","16/201","415/17872",1.95759164804827e-05,0.000719046894708769,0.00051635069983674,"CCL4/ZFP36/SLAMF1/N4BP1/INSR/LDLR/ST6GALNAC3/CD55/CH25H/ISG20/ICAM1/TNF/CCL3/CXCL8/CTSB/TNIP1",16
"GOBP_REGULATION_OF_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_VIA_DEATH_DOMAIN_RECEPTORS","GOBP_REGULATION_OF_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_VIA_DEATH_DOMAIN_RECEPTORS","GOBP_REGULATION_OF_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_VIA_DEATH_DOMAIN_RECEPTORS","6/201","50/17872",1.97659555367479e-05,0.000719046894708769,0.00051635069983674,"TNFAIP3/CFLAR/PMAIP1/THBS1/PTEN/ICAM1",6
"GOBP_RESPONSE_TO_STEROID_HORMONE","GOBP_RESPONSE_TO_STEROID_HORMONE","GOBP_RESPONSE_TO_STEROID_HORMONE","14/201","330/17872",2.31457458099813e-05,0.000831852527122579,0.000597356914690068,"CFLAR/ZFP36/AREG/THBS1/SCGB1A1/IL1RN/ATP1A1/RBFOX2/KLF9/TNF/ADM/PTGS2/MT-ND3/EIF4E",14
"GOBP_LEUKOCYTE_PROLIFERATION","GOBP_LEUKOCYTE_PROLIFERATION","GOBP_LEUKOCYTE_PROLIFERATION","14/201","331/17872",2.39319091486317e-05,0.0008382195442784,0.00060192909737867,"IL1B/TNFAIP3/PELI1/IL1A/SCGB1A1/SLAMF1/BCL6/GPR183/CD55/SDC4/IRF1/IL2RA/TLR4/CCND3",14
"GOBP_POSITIVE_REGULATION_OF_DEFENSE_RESPONSE","GOBP_POSITIVE_REGULATION_OF_DEFENSE_RESPONSE","GOBP_POSITIVE_REGULATION_OF_DEFENSE_RESPONSE","13/201","288/17872",2.39439831234333e-05,0.0008382195442784,0.00060192909737867,"IL1B/NFKBIA/NFKBIZ/FPR2/HCK/EREG/LDLR/TNF/CCL3/PTGS2/TNIP1/LILRA5/TLR4",13
"GOBP_REGULATION_OF_PROTEIN_SERINE_THREONINE_KINASE_ACTIVITY","GOBP_REGULATION_OF_PROTEIN_SERINE_THREONINE_KINASE_ACTIVITY","GOBP_REGULATION_OF_PROTEIN_SERINE_THREONINE_KINASE_ACTIVITY","15/201","376/17872",2.41659003714188e-05,0.0008382195442784,0.00060192909737867,"IL1B/TNFAIP3/IRAK3/ACSL1/PTPN1/THBS1/PTEN/INSR/RAPGEF2/DUSP1/TNF/AKAP13/FLT1/TLR4/CCND3",15
"GOBP_PEPTIDYL_TYROSINE_MODIFICATION","GOBP_PEPTIDYL_TYROSINE_MODIFICATION","GOBP_PEPTIDYL_TYROSINE_MODIFICATION","15/201","377/17872",2.4921150372249e-05,0.000854480362763434,0.000613606061797057,"SAMSN1/HCK/AREG/PTPN1/CD44/EREG/INSR/HIPK2/TNF/PTPN2/PRKCE/TPST1/FLT1/LILRA5/ABL2",15
"GOBP_HEAT_GENERATION","GOBP_HEAT_GENERATION","GOBP_HEAT_GENERATION","4/201","16/17872",2.54203419300093e-05,0.000855797851340281,0.000614552156069472,"IL1B/IL1A/TNF/PTGS2",4
"GOBP_INTERLEUKIN_6_PRODUCTION","GOBP_INTERLEUKIN_6_PRODUCTION","GOBP_INTERLEUKIN_6_PRODUCTION","10/201","172/17872",2.55333586219527e-05,0.000855797851340281,0.000614552156069472,"IL1B/TNFAIP3/IRAK3/IL1A/EREG/SLAMF1/TNF/STAT3/LILRA5/TLR4",10
"GOBP_MACROPHAGE_ACTIVATION","GOBP_MACROPHAGE_ACTIVATION","GOBP_MACROPHAGE_ACTIVATION","8/201","106/17872",2.61732792922056e-05,0.000867498801429435,0.000622954659177056,"FPR2/THBS1/LDLR/IFNGR2/TNF/CCL3/PRKCE/TLR4",8
"GOBP_POSITIVE_REGULATION_OF_PROTEIN_SERINE_THREONINE_KINASE_ACTIVITY","GOBP_POSITIVE_REGULATION_OF_PROTEIN_SERINE_THREONINE_KINASE_ACTIVITY","GOBP_POSITIVE_REGULATION_OF_PROTEIN_SERINE_THREONINE_KINASE_ACTIVITY","11/201","210/17872",2.65697618344942e-05,0.000870962632442814,0.000625442051280459,"IL1B/ACSL1/PTPN1/THBS1/INSR/RAPGEF2/TNF/AKAP13/FLT1/TLR4/CCND3",11
"GOBP_NEGATIVE_REGULATION_OF_CELL_ACTIVATION","GOBP_NEGATIVE_REGULATION_OF_CELL_ACTIVATION","GOBP_NEGATIVE_REGULATION_OF_CELL_ACTIVATION","11/201","216/17872",3.44230530263591e-05,0.00111613007801771,0.000801497859366599,"TNFAIP3/PELI1/SAMSN1/SCGB1A1/BCL6/LDLR/PTPN2/PAG1/SDC4/IRF1/IL2RA",11
"GOBP_NIK_NF_KAPPAB_SIGNALING","GOBP_NIK_NF_KAPPAB_SIGNALING","GOBP_NIK_NF_KAPPAB_SIGNALING","9/201","144/17872",3.69924189741982e-05,0.00118654178279606,0.000852060810554538,"NLRP3/IL1B/NFKBIA/BIRC3/TNF/NFAT5/REL/LITAF/TLR4",9
"GOBP_REACTIVE_NITROGEN_SPECIES_METABOLIC_PROCESS","GOBP_REACTIVE_NITROGEN_SPECIES_METABOLIC_PROCESS","GOBP_REACTIVE_NITROGEN_SPECIES_METABOLIC_PROCESS","7/201","82/17872",3.82014039226357e-05,0.00121228497767258,0.000870547110667006,"IL1B/SOD2/GCH1/INSR/TNF/PTGS2/TLR4",7
"GOBP_NEGATIVE_REGULATION_OF_PHOSPHORUS_METABOLIC_PROCESS","GOBP_NEGATIVE_REGULATION_OF_PHOSPHORUS_METABOLIC_PROCESS","GOBP_NEGATIVE_REGULATION_OF_PHOSPHORUS_METABOLIC_PROCESS","16/201","442/17872",4.19037130942437e-05,0.00129132772791931,0.00092730805311354,"IL1B/TNFAIP3/SAMSN1/IRAK3/PTPN1/PPP1R15A/PTEN/ENSA/DUSP1/TNF/GADD45B/PTPN2/STAT3/DUSP6/PLEK/LDLRAD4",16
"GOBP_PERK_MEDIATED_UNFOLDED_PROTEIN_RESPONSE","GOBP_PERK_MEDIATED_UNFOLDED_PROTEIN_RESPONSE","GOBP_PERK_MEDIATED_UNFOLDED_PROTEIN_RESPONSE","4/201","18/17872",4.19921438348612e-05,0.00129132772791931,0.00092730805311354,"PTPN1/PPP1R15A/PTPN2/NFE2L2",4
"GOBP_POSITIVE_REGULATION_OF_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS","GOBP_POSITIVE_REGULATION_OF_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS","GOBP_POSITIVE_REGULATION_OF_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS","5/201","35/17872",4.22388112838633e-05,0.00129132772791931,0.00092730805311354,"PMAIP1/PTPN1/PTPN2/ATF6/NFE2L2",5
"GOBP_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY","GOBP_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY","GOBP_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY","11/201","221/17872",4.24237738304032e-05,0.00129132772791931,0.00092730805311354,"IL1B/TNFAIP3/CFLAR/BCL2A1/PMAIP1/IL1A/THBS1/PTEN/ICAM1/TNF/TRAF1",11
"GOBP_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_VIA_DEATH_DOMAIN_RECEPTORS","GOBP_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_VIA_DEATH_DOMAIN_RECEPTORS","GOBP_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_VIA_DEATH_DOMAIN_RECEPTORS","7/201","85/17872",4.82087524575833e-05,0.00143806708580971,0.00103268222369665,"TNFAIP3/CFLAR/PMAIP1/THBS1/PTEN/ICAM1/TNF",7
"GOBP_NEGATIVE_REGULATION_OF_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY","GOBP_NEGATIVE_REGULATION_OF_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY","GOBP_NEGATIVE_REGULATION_OF_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY","7/201","85/17872",4.82087524575833e-05,0.00143806708580971,0.00103268222369665,"SERPINB9/BIRC3/CD44/THBS1/TNFAIP8/TNF/PTGS2",7
"GOBP_REGULATION_OF_MONONUCLEAR_CELL_MIGRATION","GOBP_REGULATION_OF_MONONUCLEAR_CELL_MIGRATION","GOBP_REGULATION_OF_MONONUCLEAR_CELL_MIGRATION","8/201","116/17872",5.01051826568092e-05,0.00147983920658675,0.00106267896515484,"CCL4/FPR2/THBS1/SLAMF1/CCL20/DUSP1/TNF/CCL3",8
"GOBP_POSITIVE_REGULATION_OF_NUCLEAR_DIVISION","GOBP_POSITIVE_REGULATION_OF_NUCLEAR_DIVISION","GOBP_POSITIVE_REGULATION_OF_NUCLEAR_DIVISION","6/201","59/17872",5.15325217862008e-05,0.00150707365184546,0.00108223613864725,"IL1B/OOEP/IL1A/EREG/INSR/TNF",6
"GOBP_REGULATION_OF_MAP_KINASE_ACTIVITY","GOBP_REGULATION_OF_MAP_KINASE_ACTIVITY","GOBP_REGULATION_OF_MAP_KINASE_ACTIVITY","10/201","187/17872",5.20611225314521e-05,0.00150775076224584,0.00108272237456827,"IL1B/IRAK3/PTPN1/THBS1/INSR/DUSP1/TNF/AKAP13/FLT1/TLR4",10
"GOBP_REGULATION_OF_ADAPTIVE_IMMUNE_RESPONSE","GOBP_REGULATION_OF_ADAPTIVE_IMMUNE_RESPONSE","GOBP_REGULATION_OF_ADAPTIVE_IMMUNE_RESPONSE","10/201","188/17872",5.44554804453355e-05,0.00154705426827082,0.00111094639304519,"NLRP3/IL1B/TNFAIP3/SAMSN1/NFKBIZ/SLAMF1/BCL6/CD55/TNF/IRF1",10
"GOBP_TUMOR_NECROSIS_FACTOR_SUPERFAMILY_CYTOKINE_PRODUCTION","GOBP_TUMOR_NECROSIS_FACTOR_SUPERFAMILY_CYTOKINE_PRODUCTION","GOBP_TUMOR_NECROSIS_FACTOR_SUPERFAMILY_CYTOKINE_PRODUCTION","10/201","188/17872",5.44554804453355e-05,0.00154705426827082,0.00111094639304519,"TNFAIP3/IRAK3/IL1A/ZFP36/THBS1/SLAMF1/CCL3/STAT3/LILRA5/TLR4",10
"GOBP_POSITIVE_REGULATION_OF_MAP_KINASE_ACTIVITY","GOBP_POSITIVE_REGULATION_OF_MAP_KINASE_ACTIVITY","GOBP_POSITIVE_REGULATION_OF_MAP_KINASE_ACTIVITY","8/201","118/17872",5.6601208983593e-05,0.00159284345658545,0.001143827808159,"IL1B/PTPN1/THBS1/INSR/TNF/AKAP13/FLT1/TLR4",8
"GOBP_POSITIVE_REGULATION_OF_LIPID_METABOLIC_PROCESS","GOBP_POSITIVE_REGULATION_OF_LIPID_METABOLIC_PROCESS","GOBP_POSITIVE_REGULATION_OF_LIPID_METABOLIC_PROCESS","9/201","153/17872",5.94346733136933e-05,0.00165694981770792,0.00118986286466666,"IL1B/FPR2/IL1A/LDLR/TNF/PRKCE/ADM/PTGS2/FLT1",9
"GOBP_REGULATION_OF_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY","GOBP_REGULATION_OF_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY","GOBP_REGULATION_OF_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY","11/201","232/17872",6.58324093976515e-05,0.00181831552993699,0.0013057402838618,"NLRP3/CFLAR/PMAIP1/SERPINB9/BIRC3/CD44/THBS1/TNFAIP8/TNF/PTGS2/MEFV",11
"GOBP_CELLULAR_RESPONSE_TO_PEPTIDE","GOBP_CELLULAR_RESPONSE_TO_PEPTIDE","GOBP_CELLULAR_RESPONSE_TO_PEPTIDE","14/201","364/17872",6.71880780407227e-05,0.0018387342825273,0.00132040307883023,"IL1B/CFLAR/NFKB1/FPR2/PTPN1/INSR/ICAM1/TNF/PTPN2/NFE2L2/NAMPT/STAT3/TLR4/CCND3",14
"GOBP_HETEROTYPIC_CELL_CELL_ADHESION","GOBP_HETEROTYPIC_CELL_CELL_ADHESION","GOBP_HETEROTYPIC_CELL_CELL_ADHESION","6/201","62/17872",6.83704923250245e-05,0.00185408344186862,0.00133142537685574,"IL1B/CD44/IL1RN/TNF/CD58/PKP2",6
"GOBP_NEGATIVE_REGULATION_OF_MYELOID_CELL_DIFFERENTIATION","GOBP_NEGATIVE_REGULATION_OF_MYELOID_CELL_DIFFERENTIATION","GOBP_NEGATIVE_REGULATION_OF_MYELOID_CELL_DIFFERENTIATION","7/201","91/17872",7.46929248978434e-05,0.00200728824297538,0.00144144241030926,"NFKBIA/ZBTB16/ZFP36/CCL3/PTPN2/TNFAIP6/TLR4",7
"GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_PROLIFERATION","GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_PROLIFERATION","GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_PROLIFERATION","9/201","158/17872",7.62373985328881e-05,0.00203050142699647,0.00145811189863184,"IL1B/PELI1/IL1A/SLAMF1/BCL6/GPR183/CD55/IL2RA/TLR4",9
"GOBP_REGULATION_OF_LEUKOCYTE_CHEMOTAXIS","GOBP_REGULATION_OF_LEUKOCYTE_CHEMOTAXIS","GOBP_REGULATION_OF_LEUKOCYTE_CHEMOTAXIS","8/201","124/17872",8.04338282413963e-05,0.00212331070481491,0.00152475864435251,"CCL4/FPR2/THBS1/SLAMF1/DUSP1/CCL3/CXCL8/TNFAIP6",8
"GOBP_REGULATION_OF_NITRIC_OXIDE_METABOLIC_PROCESS","GOBP_REGULATION_OF_NITRIC_OXIDE_METABOLIC_PROCESS","GOBP_REGULATION_OF_NITRIC_OXIDE_METABOLIC_PROCESS","6/201","64/17872",8.18457027719475e-05,0.00214162922253263,0.00153791325153198,"IL1B/SOD2/INSR/TNF/PTGS2/TLR4",6
"GOBP_POSITIVE_REGULATION_OF_PROTEOLYSIS","GOBP_POSITIVE_REGULATION_OF_PROTEOLYSIS","GOBP_POSITIVE_REGULATION_OF_PROTEOLYSIS","14/201","373/17872",8.71251011241177e-05,0.00225994936220211,0.00162287945800988,"NLRP3/IL1B/RNF144B/CFLAR/PMAIP1/RNF19B/PTEN/TNF/PLK3/NFE2L2/SNX9/TNIP1/STAT3/MEFV",14
"GOBP_REGULATION_OF_LEUKOCYTE_DIFFERENTIATION","GOBP_REGULATION_OF_LEUKOCYTE_DIFFERENTIATION","GOBP_REGULATION_OF_LEUKOCYTE_DIFFERENTIATION","12/201","285/17872",9.61390395193659e-05,0.00244044213821826,0.00175249210483059,"NLRP3/ZBTB16/NFKBIZ/RHOH/BCL6/TNF/CCL3/PTPN2/TNFAIP6/IRF1/IL2RA/TLR4",12
"GOBP_INTEGRATED_STRESS_RESPONSE_SIGNALING","GOBP_INTEGRATED_STRESS_RESPONSE_SIGNALING","GOBP_INTEGRATED_STRESS_RESPONSE_SIGNALING","4/201","22/17872",9.69057917989458e-05,0.00244044213821826,0.00175249210483059,"PTPN1/PPP1R15A/PTPN2/NFE2L2",4
"GOBP_REGULATION_OF_HORMONE_BIOSYNTHETIC_PROCESS","GOBP_REGULATION_OF_HORMONE_BIOSYNTHETIC_PROCESS","GOBP_REGULATION_OF_HORMONE_BIOSYNTHETIC_PROCESS","4/201","22/17872",9.69057917989458e-05,0.00244044213821826,0.00175249210483059,"NFKB1/ATP1A1/ADM/EGR1",4
"GOBP_POSITIVE_REGULATION_OF_MONONUCLEAR_CELL_MIGRATION","GOBP_POSITIVE_REGULATION_OF_MONONUCLEAR_CELL_MIGRATION","GOBP_POSITIVE_REGULATION_OF_MONONUCLEAR_CELL_MIGRATION","6/201","66/17872",9.73558881823576e-05,0.00244044213821826,0.00175249210483059,"CCL4/FPR2/SLAMF1/CCL20/TNF/CCL3",6
"GOBP_CALCIUM_MEDIATED_SIGNALING","GOBP_CALCIUM_MEDIATED_SIGNALING","GOBP_CALCIUM_MEDIATED_SIGNALING","10/201","203/17872",0.000103334806652342,0.00256873106869948,0.00184461694331155,"CCL4/FPR2/MCTP1/CCL20/TNF/CCL3/NFAT5/CXCL8/CCRL2/PLEK",10
"GOBP_NEGATIVE_REGULATION_OF_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY","GOBP_NEGATIVE_REGULATION_OF_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY","GOBP_NEGATIVE_REGULATION_OF_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY","7/201","97/17872",0.000112012041618696,0.00271726007265555,0.00195127626651165,"IL1B/TNFAIP3/CFLAR/IL1A/THBS1/ICAM1/TNF",7
"GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_6_PRODUCTION","GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_6_PRODUCTION","GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_6_PRODUCTION","7/201","97/17872",0.000112012041618696,0.00271726007265555,0.00195127626651165,"IL1B/IL1A/EREG/TNF/STAT3/LILRA5/TLR4",7
"GOBP_T_CELL_PROLIFERATION","GOBP_T_CELL_PROLIFERATION","GOBP_T_CELL_PROLIFERATION","10/201","205/17872",0.000112042570880534,0.00271726007265555,0.00195127626651165,"IL1B/PELI1/IL1A/SCGB1A1/SLAMF1/CD55/SDC4/IRF1/IL2RA/CCND3",10
"GOBP_ASTROCYTE_DEVELOPMENT","GOBP_ASTROCYTE_DEVELOPMENT","GOBP_ASTROCYTE_DEVELOPMENT","5/201","43/17872",0.000116439252802607,0.00280111525088852,0.00201149303440836,"IL1B/FPR2/LDLR/TNF/TLR4",5
"GOBP_REGULATION_OF_EPITHELIAL_CELL_APOPTOTIC_PROCESS","GOBP_REGULATION_OF_EPITHELIAL_CELL_APOPTOTIC_PROCESS","GOBP_REGULATION_OF_EPITHELIAL_CELL_APOPTOTIC_PROCESS","7/201","98/17872",0.000119494137596807,0.00285160809961021,0.00204775216850107,"TNFAIP3/CFLAR/ZFP36/THBS1/ICAM1/TNF/NFE2L2",7
"GOBP_MONONUCLEAR_CELL_DIFFERENTIATION","GOBP_MONONUCLEAR_CELL_DIFFERENTIATION","GOBP_MONONUCLEAR_CELL_DIFFERENTIATION","15/201","434/17872",0.000122148173390334,0.00289180953351879,0.00207662099289332,"NLRP3/IL1B/ZBTB16/NFKBIZ/IL1A/KLF6/RHOH/SLAMF1/BCL6/GPR183/PTPN2/STAT3/IRF1/IL2RA/EGR1",15
